what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1253561941795
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253561959848
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253561967205
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1253561979988
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253561980046
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253561983126
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253561986403
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1253561989108
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562029234
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562030850
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1253562030967
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562032976
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1253562064212
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562064430
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562069087
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1253562112271
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1253562112407
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1253562113866
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1253562114575
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1253562114735
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1253562114904
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1253562115095
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1253562117186
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1253562118385
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.text.contentAssist.proposals",1253562121642
